id,uname,request,details,room,status,created_at
1,Reorio,Request Amenities,towel: 1,210,Pending,2025-03-08 13:32:57
2,Reorio,Housekeeping,Full Cleaning | may ipis ilalim ng kama,210,Pending,2025-03-08 13:49:27
3,Shekka,Order Food,Burger and Fries,305,Pending,2025-03-08 14:05:10
4,Juan,Housekeeping,Change Bedsheets,102,Pending,2025-03-08 14:10:45
5,Ana,Request Amenities,extra pillow,407,Pending,2025-03-08 14:20:30
6,Miguel,Housekeeping,Bathroom Cleaning,110,Pending,2025-03-08 14:30:15
7,Carlos,Request Amenities,water bottle: 2,215,Pending,2025-03-08 14:40:00
8,Karen,Order Food,Pasta and Juice,502,Pending,2025-03-08 14:50:25
9,Dave,Housekeeping,Vacuum Floor,202,Pending,2025-03-08 15:00:10
10,Lisa,Request Amenities,soap and shampoo,308,Pending,2025-03-08 15:10:00
